x y err
0.000000000000000000e+00 9.962378006865159064e-01 1.706254657601291927e-02
1.010101010101010187e-02 9.967532617511292159e-01 1.702231372070987098e-02
2.020202020202020374e-02 9.971790099357410453e-01 1.705083101393139663e-02
3.030303030303030387e-02 9.976276628573389482e-01 1.694617447717352426e-02
4.040404040404040747e-02 9.983877606475265454e-01 1.686029944065952496e-02
5.050505050505051108e-02 9.988938518023843249e-01 1.675138221141898517e-02
6.060606060606060774e-02 9.993837311533825263e-01 1.661617606731586108e-02
7.070707070707071829e-02 9.998626053447859929e-01 1.658034633785438264e-02
8.080808080808081495e-02 1.000656388594835189e+00 1.644621129846355473e-02
9.090909090909091161e-02 1.001512216722098669e+00 1.634548877340535195e-02
1.010101010101010222e-01 1.002290221558175043e+00 1.630081199665798369e-02
1.111111111111111188e-01 1.002988867465739453e+00 1.620112414706606149e-02
1.212121212121212155e-01 1.004132100234624403e+00 1.618667071465933888e-02
1.313131313131313260e-01 1.004961859823640280e+00 1.625298444205099807e-02
1.414141414141414366e-01 1.005784343192564600e+00 1.625146247031005256e-02
1.515151515151515194e-01 1.006783785234813822e+00 1.646439570992505944e-02
1.616161616161616299e-01 1.007816851525362933e+00 1.656835518840952745e-02
1.717171717171717404e-01 1.008633811647137390e+00 1.639249526456298955e-02
1.818181818181818232e-01 1.009752354126660867e+00 1.642732724862861621e-02
1.919191919191919338e-01 1.010995746834367992e+00 1.643878279322718780e-02
2.020202020202020443e-01 1.011938385575488875e+00 1.664070316112378073e-02
2.121212121212121271e-01 1.013126306185324621e+00 1.683055648710429786e-02
2.222222222222222376e-01 1.014097543397896262e+00 1.700947263430314937e-02
2.323232323232323482e-01 1.015354485927136619e+00 1.736970196802601826e-02
2.424242424242424310e-01 1.016837045498625525e+00 1.758822487470118948e-02
2.525252525252525415e-01 1.018094112502291315e+00 1.789288851894723503e-02
2.626262626262626521e-01 1.019532189240846654e+00 1.841222824536551186e-02
2.727272727272727626e-01 1.021620534571790362e+00 1.956293294252287734e-02
2.828282828282828731e-01 1.023299487921968343e+00 2.036400010350521844e-02
2.929292929292929282e-01 1.025462131054435400e+00 2.128724891007480538e-02
3.030303030303030387e-01 1.027226631995007411e+00 2.200200055495750776e-02
3.131313131313131493e-01 1.029656568277274920e+00 2.404186253672166082e-02
3.232323232323232598e-01 1.031744874327738870e+00 2.449463138837468246e-02
3.333333333333333703e-01 1.033474862905702230e+00 2.483410757484825690e-02
3.434343434343434809e-01 1.036719516373074024e+00 2.580259715445631236e-02
3.535353535353535914e-01 1.039027055403367150e+00 2.666524189930604902e-02
3.636363636363636465e-01 1.040501923541469864e+00 2.717723738536998584e-02
3.737373737373737570e-01 1.042324595040488022e+00 2.820473131735404954e-02
3.838383838383838675e-01 1.044553475800882092e+00 2.916416539023232793e-02
3.939393939393939781e-01 1.047004556265324737e+00 2.996858987488295462e-02
4.040404040404040886e-01 1.048978025497521616e+00 3.045524069952348922e-02
4.141414141414141992e-01 1.050526109710436140e+00 3.073998579114722157e-02
4.242424242424242542e-01 1.052732957757148702e+00 3.175944655489520985e-02
4.343434343434343647e-01 1.054593487171580746e+00 3.218206923953162435e-02
4.444444444444444753e-01 1.055898661802546545e+00 3.247169914996408946e-02
4.545454545454545858e-01 1.057611993415562113e+00 3.287593414716021012e-02
4.646464646464646964e-01 1.059650090940575495e+00 3.339760582193658511e-02
4.747474747474748069e-01 1.062112929017558827e+00 3.400907744416226119e-02
4.848484848484848619e-01 1.064212861844124669e+00 3.451586840057333655e-02
4.949494949494949725e-01 1.066108091603848562e+00 3.479645131749821430e-02
5.050505050505050830e-01 1.068168044659179694e+00 3.528420445801820626e-02
5.151515151515152491e-01 1.070062678765725028e+00 3.570688621183989303e-02
5.252525252525253041e-01 1.071982493921177060e+00 3.566266740618585784e-02
5.353535353535353591e-01 1.073906741622197014e+00 3.621288004839342406e-02
5.454545454545455252e-01 1.075923331680406880e+00 3.664260373293250217e-02
5.555555555555555802e-01 1.077948915381422124e+00 3.716161346560112322e-02
5.656565656565657463e-01 1.079852659536921555e+00 3.781389633138554363e-02
5.757575757575758013e-01 1.082079764456550963e+00 3.816406457532308533e-02
