x	y	err
0.000000000000000000e+00 1.278866973608049795e+00 1.495338001353609503e+00
1.010101010101010187e-02 1.593207271504603062e+00 1.556892550409505471e+00
2.020202020202020374e-02 2.062612443677871887e+00 1.677871686880070490e+00
3.030303030303030387e-02 2.743450306778518311e+00 2.417967809903558862e+00
4.040404040404040747e-02 4.146409306533594297e+00 4.537796443642081456e+00
5.050505050505051108e-02 5.180207230480298186e+00 6.106994750297647379e+00
6.060606060606060774e-02 6.203190156973992231e+00 7.644857197888309308e+00
7.070707070707071829e-02 8.356058851496984019e+00 1.185660827866187894e+01
8.080808080808081495e-02 1.002190656528024704e+01 1.466506906667685683e+01
9.090909090909091161e-02 1.267246960778050635e+01 1.969571103202695994e+01
1.010101010101010222e-01 1.635021475985741901e+01 2.713934146002892334e+01
1.111111111111111188e-01 1.901879454972322137e+01 3.257597514710990794e+01
1.212121212121212155e-01 2.373354343945969447e+01 4.164731944337071923e+01
1.313131313131313260e-01 2.534095235107600885e+01 4.400004270116423299e+01
1.414141414141414366e-01 2.984212111197000183e+01 5.339072562013740253e+01
1.515151515151515194e-01 3.320226481411926756e+01 5.850949642253085869e+01
1.616161616161616299e-01 3.675679416790444520e+01 6.282217519312666809e+01
1.717171717171717404e-01 3.881207533049506964e+01 6.503152082423711988e+01
1.818181818181818232e-01 4.235422110454484823e+01 6.941828691246351468e+01
1.919191919191919338e-01 4.506843613691648898e+01 7.150828653600845541e+01
2.020202020202020443e-01 4.759246811050107340e+01 7.230633861566847997e+01
2.121212121212121271e-01 4.941382315672664305e+01 7.300786519737901870e+01
2.222222222222222376e-01 5.210400426166787469e+01 7.411865825910786043e+01
2.323232323232323482e-01 5.729810038521913640e+01 8.063985735594270921e+01
2.424242424242424310e-01 6.244670832256493753e+01 8.241091034690732897e+01
2.525252525252525415e-01 6.632372068565511825e+01 8.399159305264375064e+01
2.626262626262626521e-01 7.200326493001388428e+01 8.637609025216529801e+01
2.727272727272727626e-01 7.697706309128803071e+01 9.392492022210794289e+01
2.828282828282828731e-01 8.157181714452217136e+01 9.368338700025469734e+01
2.929292929292929282e-01 8.807650820246281853e+01 9.897858992839394432e+01
3.030303030303030387e-01 9.686076860528648069e+01 1.056094799082515436e+02
3.131313131313131493e-01 1.043386752797316746e+02 1.106834418867187821e+02
3.232323232323232598e-01 1.155813100782009428e+02 1.206075545287237389e+02
3.333333333333333703e-01 1.227924728726094514e+02 1.211698586621212002e+02
3.434343434343434809e-01 1.313267248376488396e+02 1.253463367958583063e+02
3.535353535353535914e-01 1.387057046112738021e+02 1.249560314871254576e+02
3.636363636363636465e-01 1.442517589113509757e+02 1.271502007696545462e+02
3.737373737373737570e-01 1.516630576619082831e+02 1.284125889443834296e+02
3.838383838383838675e-01 1.640688573171118207e+02 1.373568863551867878e+02
3.939393939393939781e-01 1.728773387298441548e+02 1.361156709781014058e+02
4.040404040404040886e-01 1.804202837323150277e+02 1.405095290607789593e+02
4.141414141414141992e-01 1.839608345814440042e+02 1.407212090026552005e+02
4.242424242424242542e-01 1.812882399860001215e+02 1.277505392641214712e+02
4.343434343434343647e-01 1.888383832260340114e+02 1.232456018518542322e+02
4.444444444444444753e-01 1.952210373736364488e+02 1.230252642117865776e+02
4.545454545454545858e-01 1.993560216960346736e+02 1.169264652776171687e+02
4.646464646464646964e-01 2.032526217996050661e+02 1.094021611568793730e+02
4.747474747474748069e-01 2.136830414438801711e+02 1.153493713808001218e+02
4.848484848484848619e-01 2.265219520865989580e+02 1.230184117073316372e+02
4.949494949494949725e-01 2.367137983167585560e+02 1.278123657867471366e+02
5.050505050505050830e-01 2.476187845670599756e+02 1.281151373025554676e+02
5.151515151515152491e-01 2.608562129527287539e+02 1.330420605380088261e+02
5.252525252525253041e-01 2.752024630164050336e+02 1.376804232300177091e+02
5.353535353535353591e-01 2.802595393929684633e+02 1.411311958239852231e+02
5.454545454545455252e-01 2.835868762084401169e+02 1.403737601188243502e+02
5.555555555555555802e-01 2.937050399238226532e+02 1.430963803374170880e+02
5.656565656565657463e-01 3.061116728436652465e+02 1.466836962861576694e+02
5.757575757575758013e-01 3.199564071845818489e+02 1.565422655583907670e+02
5.858585858585858563e-01 3.282313871568807144e+02 1.635299566465355667e+02
5.959595959595960224e-01 3.405205427405595628e+02 1.731111326463150704e+02
6.060606060606060774e-01 3.662329306948665248e+02 1.750051653749343075e+02
6.161616161616162435e-01 3.769093511149297342e+02 1.795831875357042122e+02
6.262626262626262985e-01 3.966114196493322765e+02 1.955498201527578601e+02
6.363636363636364646e-01 4.146869483848471987e+02 2.106363697462825542e+02
6.464646464646465196e-01 4.260869621866656871e+02 2.265111519024742961e+02
6.565656565656565746e-01 4.517579748081129196e+02 2.454554190486460357e+02
6.666666666666667407e-01 4.811085159897136805e+02 2.669684874965228687e+02
6.767676767676767957e-01 5.139857663676084485e+02 2.910273950668308203e+02
6.868686868686869618e-01 5.488155297387489782e+02 3.145535449390899885e+02
6.969696969696970168e-01 5.835890485179713778e+02 3.530192615585555700e+02
7.070707070707071829e-01 6.324563228445828145e+02 3.992990545394871447e+02
7.171717171717172379e-01 6.516174255314441552e+02 4.153678278851084542e+02
7.272727272727272929e-01 6.736948205757001915e+02 4.317241553189370507e+02
7.373737373737374590e-01 6.880897366121057530e+02 4.498092390913086547e+02
7.474747474747475140e-01 7.072121845920170244e+02 4.758805241573492140e+02
7.575757575757576801e-01 7.274035537195795769e+02 5.027039542548952227e+02
7.676767676767677351e-01 7.674590359231200409e+02 4.996587308375551402e+02
7.777777777777777901e-01 7.939303186379364661e+02 5.312709046710948542e+02
7.878787878787879562e-01 8.462922602594335331e+02 5.679707291213026110e+02
7.979797979797980112e-01 8.909640538126406000e+02 5.927347338926559814e+02
8.080808080808081773e-01 9.408876280754575419e+02 6.261067470878581389e+02
8.181818181818182323e-01 9.782573318062480894e+02 6.641036330842034658e+02
8.282828282828283983e-01 1.020182916557310818e+03 7.040625575209390945e+02
8.383838383838384534e-01 1.052929921928505337e+03 7.501555622771893468e+02
8.484848484848485084e-01 1.086676744966035130e+03 7.978812017011895250e+02
8.585858585858586745e-01 1.130490158508441937e+03 8.559001138186108619e+02
8.686868686868687295e-01 1.176934783226686250e+03 9.073153972311730513e+02
8.787878787878788955e-01 1.217111037036419248e+03 9.617017661020563537e+02
8.888888888888889506e-01 1.288939413318405968e+03 1.038242435590357445e+03
8.989898989898991166e-01 1.353783403162862896e+03 1.100257688887704944e+03
9.090909090909091717e-01 1.404088371643479832e+03 1.158327274457922613e+03
9.191919191919192267e-01 1.453238444340718161e+03 1.221706391244913220e+03
9.292929292929293927e-01 1.478514879743138181e+03 1.271770679599552295e+03
9.393939393939394478e-01 1.527112246510191881e+03 1.326087304218493500e+03
9.494949494949496138e-01 1.572755340315322201e+03 1.358439411587154609e+03
9.595959595959596689e-01 1.613688832756527290e+03 1.392399168757767256e+03
9.696969696969697239e-01 1.641134190467024155e+03 1.409643621151681373e+03
9.797979797979798899e-01 1.663928216975499481e+03 1.425232624963061426e+03
9.898989898989899450e-01 1.692271242459497216e+03 1.459092063422012870e+03
1.000000000000000000e+00 1.709644101286332670e+03 1.474735883661324806e+03
