% Model:              jammed_23Feb.mph
% Version:            COMSOL 5.4.0.225
% Date:               Feb 23 2021, 17:24
% Dimension:          1
% Nodes:              500
% Expressions:        93
% Description:        , , 
% X                       cp @ t=0                 ra @ t=0                 rs @ t=0                 cp @ t=0.1               ra @ t=0.1               rs @ t=0.1               cp @ t=0.2               ra @ t=0.2               rs @ t=0.2               cp @ t=0.3               ra @ t=0.3               rs @ t=0.3               cp @ t=0.4               ra @ t=0.4               rs @ t=0.4               cp @ t=0.5               ra @ t=0.5               rs @ t=0.5               cp @ t=0.6               ra @ t=0.6               rs @ t=0.6               cp @ t=0.7               ra @ t=0.7               rs @ t=0.7               cp @ t=0.8               ra @ t=0.8               rs @ t=0.8               cp @ t=0.9               ra @ t=0.9               rs @ t=0.9               cp @ t=1                 ra @ t=1                 rs @ t=1                 cp @ t=1.1               ra @ t=1.1               rs @ t=1.1               cp @ t=1.2               ra @ t=1.2               rs @ t=1.2               cp @ t=1.3               ra @ t=1.3               rs @ t=1.3               cp @ t=1.4               ra @ t=1.4               rs @ t=1.4               cp @ t=1.5               ra @ t=1.5               rs @ t=1.5               cp @ t=1.6               ra @ t=1.6               rs @ t=1.6               cp @ t=1.7               ra @ t=1.7               rs @ t=1.7               cp @ t=1.8               ra @ t=1.8               rs @ t=1.8               cp @ t=1.9               ra @ t=1.9               rs @ t=1.9               cp @ t=2                 ra @ t=2                 rs @ t=2                 cp @ t=2.1               ra @ t=2.1               rs @ t=2.1               cp @ t=2.2               ra @ t=2.2               rs @ t=2.2               cp @ t=2.3               ra @ t=2.3               rs @ t=2.3               cp @ t=2.4               ra @ t=2.4               rs @ t=2.4               cp @ t=2.5               ra @ t=2.5               rs @ t=2.5               cp @ t=2.6               ra @ t=2.6               rs @ t=2.6               cp @ t=2.7               ra @ t=2.7               rs @ t=2.7               cp @ t=2.8               ra @ t=2.8               rs @ t=2.8               cp @ t=2.9               ra @ t=2.9               rs @ t=2.9               cp @ t=3                 ra @ t=3                 rs @ t=3
0.002                     1.042924849999561E-19    1.737848927344671E-14    1.0552447162922957E-13   4.205198724789815E-16    -3.3071781849697845E-24  1.0541760341028467E-13   1.4079651103132803E-15   -1.547863901402698E-32   1.0531084341996276E-13   3.8754565542856114E-15   9.459834961708922E-35    1.0520419155034291E-13   9.64675891402563E-15     4.009032794031964E-40    1.0509764769235057E-13   2.2300004518346083E-14   1.6159634252326445E-48   1.0499121174410382E-13   4.843052185877808E-14    6.556066901475687E-57    1.0488488356613714E-13   9.956064999774538E-14    -1.5437691503695438E-60  1.0477866309686695E-13   1.94751460452841E-13     -1.2432836338362008E-61  1.0467255017128653E-13   3.6421344887937665E-13   4.536302872922362E-61    1.0456654472914636E-13   6.53694944633091E-13     -2.973527228275873E-65   1.0446064664040705E-13   1.129863740504011E-12    -7.528001891813715E-61   1.0435485578842218E-13   1.886336009374875E-12    -6.624697327006377E-61   1.0424917204220747E-13   3.050730952539197E-12    -3.4259154974352844E-61  1.0414359535261156E-13   4.790628167570976E-12    -1.1817310062912092E-61  1.0403812556367375E-13   7.320824596621896E-12    1.0753713201627615E-62   1.0393276260345828E-13   1.0907918316964742E-11   6.457279724654232E-62    1.0382750630546848E-13   1.5876276892454905E-11   5.45981134428336E-62     1.0372235661658115E-13   2.2610317437428717E-11   -5.504464729567858E-63   1.0361731348395723E-13   3.155084378051903E-11    -6.68845385741143E-62    1.0351237669253827E-13   4.319811150638529E-11    -7.028522987214512E-62   1.0340754617343647E-13   5.809813125584772E-11    -4.590226786834301E-62   1.0330282166508012E-13   7.685521058505411E-11    -2.519490535098871E-62   1.0319820332446693E-13   1.0009749107895303E-10   -1.1510438956899462E-62  1.0309369099712736E-13   1.28469694339967E-10     -3.0041983653282567E-63  1.0298928447762335E-13   1.6263029429674568E-10   1.86865815931084E-63     1.0288498373979679E-13   2.0321713998732147E-10   4.028892805962192E-63    1.027807885825382E-13    2.508390539412522E-10    3.9686523903377513E-63   1.0267669883863789E-13   3.0608589210284875E-10   1.9998844772755157E-63   1.025727147075261E-13    3.6943876794425855E-10   -1.2181355398097192E-63  1.0246883576702654E-13   4.413392432030706E-10    -3.826747214551595E-63   1.0236506213111868E-13
0.006                     1.9600096134319022E-19   3.265563918906403E-14    1.340882878702532E-13    6.268081273184368E-16    -4.15652930313019E-24    1.3395249210378507E-13   1.950645101098535E-15    -1.9430877029200885E-32  1.3381683386172789E-13   5.207803580956027E-15    1.4495296676471813E-34   1.3368131300694703E-13   1.269849183476633E-14    5.0375560188891945E-40   1.3354592940084478E-13   2.8861311484192764E-14   2.0301022050118065E-48   1.3341068291395915E-13   6.175051888740096E-14    8.234331789883372E-57    1.3327557336907593E-13   1.252359133916676E-13    -2.2884913804588984E-60  1.3314060068794032E-13   2.4195757014265405E-13   -1.665144913925197E-61   1.3300576466088135E-13   4.4736060259540324E-13   6.831318071963818E-61    1.328710652113407E-13    7.945090149191816E-13    -1.6909749943906938E-62  1.3273650217407962E-13   1.3599144790468147E-12   -1.1382448903631108E-60  1.326020754008771E-13    2.249955129682128E-12    -9.897337609575991E-61   1.3246778472529395E-13   3.6083118831242904E-12   -5.096746437783823E-61   1.3233363008487322E-13   5.621999965855403E-12    -1.743349772925116E-61   1.3219961128143887E-13   8.528770370837578E-12    1.788418718769365E-62    1.320657282235822E-13    1.2621383915166415E-11   9.747807877807728E-62    1.3193198069973944E-13   1.8253414567857815E-11   8.133173205959093E-62    1.3179836864240697E-13   2.5840886454180504E-11   -9.704176240003907E-63   1.3166489198444255E-13   3.585744240158562E-11    -1.012390166916031E-61   1.3153155045257534E-13   4.883704391767119E-11    -1.0529278433658919E-61  1.3139834395926968E-13   6.535841551157443E-11    -6.854281092167645E-62   1.3126527217215078E-13   8.605819892622404E-11    -3.7552570455978006E-62  1.3113233529071128E-13   1.1159324484300301E-10   -1.7097372149149945E-62  1.3099953311867015E-13   1.4263284513860637E-10   -4.391250792017359E-63   1.3086686539497905E-13   1.7985572605012178E-10   2.8753496137537284E-63   1.3073433208639942E-13   2.2391348625575775E-10   6.076477303902248E-63    1.3060193293738367E-13   2.754222034524152E-10    5.945966186108025E-63    1.3046966773546067E-13   3.3497332444463813E-10   2.952940655759482E-63    1.303375367340425E-13    4.030396468619092E-10    -1.8963175451644073E-63  1.3020553939667567E-13   4.800489449836114E-10    -5.781957032114134E-63   1.3007367586819196E-13
0.01                      3.6868450610721973E-19   6.143081256040978E-14    1.7053024621506666E-13   1.1204442235606495E-15   3.0988728001872376E-23   1.7035754443880804E-13   3.237080607925194E-15    1.4519083912078547E-31   1.701850175627725E-13    8.330405839243327E-15    -1.3455785981225937E-33  1.7001266541255766E-13   1.9775604881545377E-14   -3.766090266152154E-39   1.698404878118973E-13    4.393168870718323E-14    -1.5221525670811693E-47  1.6966848459614559E-13   9.207848386783564E-14    -6.18687179341449E-56    1.6949665553992524E-13   1.832317382358636E-13    1.9714917477193454E-59   1.6932500054371385E-13   3.478157163802641E-13    1.4519404352010416E-60   1.6915351934085657E-13   6.325790182549973E-13    -5.875601212448527E-60   1.6898221183398881E-13   1.1062772236868193E-12   1.2692325535276495E-61   1.6881107781296364E-13   1.866405343065938E-12    9.784172481701446E-60    1.6864011708927702E-13   3.0463866217661273E-12   8.518548636758676E-60    1.6846932945125487E-13   4.82375417944487E-12     4.388668730691697E-60    1.6829871481946686E-13   7.426269989303507E-12    1.5026073864504063E-60   1.6812827294187641E-13   1.113956903609363E-11    -1.5213629425050346E-61  1.6795800370223253E-13   1.631071977352941E-11    -8.380074653662771E-61   1.6778790683147189E-13   2.3353635453930076E-11   -7.003330029069259E-61   1.6761798224374522E-13   3.274932412568881E-11    8.194819079054348E-62    1.6744822985366174E-13   4.5038597466341086E-11   8.700652838016487E-61    1.6727864931368122E-13   6.082401152445688E-11    9.059611324455574E-61    1.671092405124776E-13    8.075045981143361E-11    5.899510484848433E-61    1.669400030273432E-13    1.0551961982519629E-10   3.2328248101177544E-61   1.667709371119873E-13    1.3584556833115675E-10   1.4724657746321601E-61   1.6660204251678244E-13   1.724460227302484E-10    3.788989919946726E-62    1.66433318909732E-13     2.1603902396626519E-10   -2.4663736944759294E-62  1.6626476624856316E-13   2.6730195974371633E-10   -5.224148711871387E-62   1.6609638420827504E-13   3.2686327398504314E-10   -5.116036428770944E-62   1.659281725186502E-13    3.9531510127019934E-10   -2.545393737658323E-62   1.6576013150197118E-13   4.731107109691122E-10    1.6241262400337156E-62   1.6559226047598756E-13   5.606472099410937E-10    4.969970420931564E-62    1.6542455962489116E-13
0.014                     6.879637045235787E-19    1.1463104155031257E-13   2.168043390682176E-13    2.0762765255858047E-15   2.6296264103947546E-23   2.165847739453797E-13    5.694210075447275E-15    1.2282006010354239E-31   2.1636543118267008E-13   1.4205168816252632E-14   -2.5143799375097404E-33  2.161463105583606E-13    3.290413002103616E-14    -3.2029848894383465E-39  2.1592741184835456E-13   7.15297033712039E-14     -1.2976331055006086E-47  2.1570873484332824E-13   1.4696459409282758E-13   -5.282895725653192E-56   2.154902792567476E-13    2.8705701393459516E-13   1.9581461433999915E-59   2.1527204496208477E-13   5.354444086537852E-13    1.3689243166293702E-60   2.1505403162032731E-13   9.578670775967867E-13    -5.87913037984925E-60    2.1483623910768923E-13   1.6491926874767603E-12   1.965390087295952E-61    2.1461866715699947E-13   2.741522134218216E-12    9.809428397621498E-60    2.144013155286019E-13    4.412504989859863E-12    8.4926359916982E-60      2.141841839533844E-13    6.894591470298044E-12    4.3665604507105114E-60   2.1396727233036236E-13   1.0481132360620959E-11   1.488990950477979E-60    2.1375058033910724E-13   1.5534274083362398E-11   -1.5911380425235777E-61  2.135341078318213E-13    2.2487221794705556E-11   -8.395639457426094E-61   2.1331785446643032E-13   3.184891537179161E-11    -6.97180716702101E-61    2.131018201337878E-13    4.4201959330246366E-11   8.78150215901161E-62     2.1288600472533016E-13   6.019135335958703E-11    8.727843181879912E-61    2.126704077992095E-13    8.052522961674664E-11    9.043768710160292E-61    2.124550292138887E-13    1.0594935729562867E-10   5.880228461083451E-61    2.1223986843195338E-13   1.3726369283198016E-10   3.2194292514970105E-61   2.1202492577595711E-13   1.752675469802115E-10    1.4639513479430661E-61   2.118102009285319E-13    2.2074943321281498E-10   3.7377705810026776E-62   2.1159569346759039E-13   2.7448340376815833E-10   -2.4931567154740626E-62  2.113814033393853E-13    3.371813497507984E-10    -5.231770808285763E-62   2.1116733013072242E-13   4.0948507370037154E-10   -5.107288755471294E-62   2.1095347349805727E-13   4.91981739707327E-10     -2.523154218733253E-62   2.1073983385112103E-13   5.850883971491414E-10    1.6506964367839497E-62   2.1052641032253E-13      6.891487798808626E-10    4.9813991946578215E-62   2.103132031464535E-13
0.018                     1.2699682257934298E-18   2.116057623479513E-13    2.7557288108090205E-13   3.8224164793049064E-15   -3.515478993419369E-23   2.7529379905816344E-13   1.0107531488391557E-14   -1.6741909415003808E-31  2.7501499967008864E-13   2.4575658381784987E-14   -5.17128769109792E-33    2.747364826348452E-13    5.570780817521959E-14    4.258312034211452E-39    2.7445824766758995E-13   1.1875620175569645E-13   1.7150974525788804E-47   2.7418029450226015E-13   2.3960299530530526E-13   6.95315884568754E-56     2.739026227746504E-13    4.600803429594514E-13    -2.486827218142606E-59   2.736252323239357E-13    8.444646178426858E-13    -1.7120753085551787E-60  2.733481227192088E-13    1.4877911555209113E-12   7.484399614699771E-60    2.7307129380312884E-13   2.524729723680426E-12    -2.704896987887789E-61   2.7279474523610197E-13   4.1395430967402364E-12   -1.2491713931355545E-59  2.725184767135105E-13    6.575837167651706E-12    -1.0796480519556092E-59  2.72242487893293E-13     1.0147137472125659E-11   -5.547660158935768E-60   2.7196677864709057E-13   1.524266659033221E-11    -1.889607999944587E-60   2.716913485676156E-13    2.2335353235251727E-11   2.049074711163024E-61    2.71416197467008E-13     3.1981930813710686E-11   1.068806928767787E-60    2.7114132491046416E-13   4.482635633116096E-11    8.861340322531324E-61    2.7086673075924967E-13   6.159419784856148E-11    -1.1355958470769948E-61  2.705924148753712E-13    8.307552510872141E-11    -1.1114693484511471E-60  2.7031837669720743E-13   1.1012393361860926E-10   -1.1501239265130518E-60  2.700446160448507E-13    1.4362235976101822E-10   -7.474420229040913E-61   2.697711322352096E-13    1.8450275905960028E-10   -4.091207732040946E-61   2.6949792567826496E-13   2.336765485790002E-10    -1.8595326102790286E-61  2.692249959706171E-13    2.92022790719405E-10     -4.737590844958611E-62   2.6895234257575984E-13   3.6038430107656174E-10   3.1812394733694044E-62   2.686799654253711E-13    4.395108144057172E-10    6.659014150822287E-62    2.6840786399424916E-13   5.300519419822022E-10    6.495346077839987E-62    2.681360378457199E-13    6.325767483016039E-10    3.2033532761333867E-62   2.6786448750057454E-13   7.474408642585886E-10    -2.108629923126848E-62   2.6759321185630385E-13   8.749029578680398E-10    -6.341912997845497E-62   2.6732221121054895E-13
0.022                     2.324807235854665E-18    3.8736632189408235E-13   3.5028200431204946E-13   6.958598795436128E-15    -2.0277926643540511E-22  3.4992726182103E-13      1.788432573461898E-14    -9.606641983312222E-31   3.4957287858828056E-13   4.251399062946081E-14    -1.2333796893247757E-32  3.4921885425556157E-13   9.447567810083933E-14    2.464908786216586E-38    3.488651884608084E-13    1.9776475825710686E-13   9.96494266550716E-47     3.485118808658281E-13    3.9228937616207676E-13   4.050277367790092E-55    3.4815893100767626E-13   7.413269811634861E-13    -1.7937033210811905E-58  3.47806338681928E-13     1.3403249886864475E-12   -1.1475626251052347E-59  3.474541033408523E-13    2.3279344357810305E-12   5.449296098035366E-59    3.4710222478445516E-13   3.897278636609838E-12    -2.8062401533576854E-60  3.4675070258107696E-13   6.308237069621714E-12    -9.118967125849688E-59   3.463995363435154E-13    9.898844436099414E-12    -7.825373575607968E-59   3.460487256369713E-13    1.5097322654552827E-11   -4.010676266886815E-59   3.4569827029828646E-13   2.242692421440119E-11    -1.3588768203090365E-59  3.453481698097554E-13    3.251369694704866E-11    1.57369429267129E-60     3.4499842393258253E-13   4.6083129491020384E-11   7.795507090353563E-60    3.446490321140861E-13    6.396153560364391E-11    6.41001153751784E-60     3.4429999417791567E-13   8.70652624182039E-11     -8.966027021869477E-61   3.439513099486628E-13    1.1637539736551898E-10   -8.119763884997542E-60   3.4360297871244235E-13   1.529344963996453E-10    -8.350132228781975E-60   3.4325500024056687E-13   1.9780060820357087E-10   -5.416084889306137E-60   3.4290737366475025E-13   2.520714328619846E-10    -2.961200745415818E-60   3.425600995061121E-13    3.1679506987200434E-10   -1.3430426958007013E-60  3.4221317725188176E-13   3.929564817712401E-10    -3.3866573584382864E-61  3.4186660622009654E-13   4.814737348830374E-10    2.3466897483696362E-61   3.415203863239025E-13    5.831295033742405E-10    4.854575022420209E-61    3.4117451689570425E-13   6.985658230192957E-10    4.715927867701536E-61    3.40828997380435E-13     8.283094472201918E-10    2.3042962729280704E-61   3.404838284400659E-13    9.726169545995028E-10    -1.5661517696493944E-61  3.401390086731849E-13    1.1316172209080432E-9    -4.628308779427788E-61   3.3979453845811683E-13
0.026                     4.234432709026376E-18    7.055589373779728E-13    4.452304920516647E-13    1.257036941343309E-14    -2.0630643695242976E-22  4.4477959200003854E-13   3.151722167129197E-14    -1.0014316473313135E-30  4.443291485883021E-13    7.335734147678336E-14    -5.423202479151565E-32   4.4387916136111214E-13   1.5994111929786893E-13   2.5134450799750226E-38   4.434296298582616E-13    3.289593913237427E-13    1.0186141176673936E-46   4.429805536498849E-13    6.418888269391862E-13    4.1463258927482656E-55   4.42531932147551E-13     1.1944169547165466E-12   -2.6638473917381976E-58  4.420837650914236E-13    2.128326954305061E-12    -1.5203320346748353E-59  4.4163605178530115E-13   3.646102099135335E-12    8.201476495406123E-59    4.411887919749764E-13    6.025138475863556E-12    -5.94012519732287E-60    4.407419851117819E-13    9.632779278524878E-12    -1.3772520782427613E-58  4.4029563070355744E-13   1.4939406753187648E-11   -1.1701375295384211E-58  4.398497281976448E-13    2.2531855551183365E-11   -5.975407257390926E-59   4.3940427738665676E-13   3.311625102116726E-11    -2.0094233684763283E-59  4.389592776125528E-13    4.7524851548350995E-11   2.538389019730869E-60    4.3851472857180407E-13   6.670736130035001E-11    1.1758861973403382E-59   4.380706295619116E-13    9.172916166665089E-11    9.559394834850452E-60    4.3762698035871683E-13   1.2375315039595353E-10   -1.4930395513983785E-60  4.3718378073925633E-13   1.64003293513309E-10     -1.227508518060031E-59   4.36741029796127E-13     2.1375841727756183E-10   -1.2515212558023599E-59  4.362987272386439E-13    2.7429070739285766E-10   -8.095414855137642E-60   4.3585687196314743E-13   3.4689618199246143E-10   -4.419051826543355E-60   4.3541546463200293E-13   4.327799006717022E-10    -1.9982205070323083E-60  4.349745045934343E-13    5.33040994587648E-10     -4.9652748312423246E-61  4.3453399098060784E-13   6.486697614205687E-10    3.594398590148102E-61    4.340939236831141E-13    7.804648776130786E-10    7.31763107737361E-61     4.3365430185238357E-13   9.290314093824814E-10    7.068714502067994E-61    4.3321512478287666E-13   1.0948140551894341E-9    3.409496423588043E-61    4.327763933159864E-13    1.277915599703887E-9     -2.420361068193252E-61   4.3233810567041687E-13   1.4782726523518986E-9    -6.986836233256712E-61   4.319002623270307E-13
0.03                      7.70786480499606E-18     1.2843371178462647E-12   5.661026858402502E-13    2.265129323354557E-14    2.544749016291583E-21    5.655293744098134E-13    5.547706389820515E-14    1.1813430881358132E-29   5.64956643588914E-13     1.2647276822342711E-13   -3.36732298001901E-31    5.643844927985819E-13    2.7056765832722973E-13   -3.0971443579523654E-37  5.638129214536792E-13    5.467926465433712E-13    -1.2536148403046564E-45  5.632419290076361E-13    1.0495837722473118E-12   -5.099702314167934E-54   5.626715147122765E-13    1.923253900316235E-12    2.3062915767218267E-57   5.621016782372139E-13    3.377893610102787E-12    1.4048787956146584E-58   5.615324186972437E-13    5.708535846636261E-12    -7.046831386151277E-58   5.609637357691466E-13    9.312811577074133E-12    4.318506988902277E-59    5.603956287552984E-13    1.4709032608986048E-11   1.1812728121394057E-57   5.598280970299205E-13    2.2550725820579263E-11   1.00926678214976E-57     5.59261139890319E-13     3.3641024760251086E-11   5.164538583517399E-58    5.586947570727959E-13    4.893176332902512E-11    1.743985016003936E-58    5.581289477406563E-13    6.952827103835358E-11    -2.1010771905102344E-59  5.575637115079619E-13    9.667267026704941E-11    -1.0093314814845417E-58  5.569990474814875E-13    1.3173740476020473E-10   -8.256188166426706E-59   5.564349553762067E-13    1.7619681222860604E-10   1.2166806915701109E-59   5.558714349086119E-13    2.3157577300331335E-10   1.0523725772107954E-58   5.5530848492494E-13      2.9943991902322264E-10   1.0780735494483942E-58   5.547461050555752E-13    3.8131411943287654E-10   6.98437229867784E-59     5.541842938972113E-13    4.787217936711562E-10    3.8159603588370582E-59   5.536230522920174E-13    5.930376928404769E-10    1.728382201866114E-59    5.53062379411247E-13     7.254723094517807E-10    4.3298710747035965E-60   5.525022741527167E-13    8.770710690115981E-10    -3.059770284895964E-60   5.519427363760173E-13    1.0486145737052994E-9    -6.283908932800008E-60   5.513837650021858E-13    1.2406220819807813E-9    -6.088740630682144E-60   5.50825359134119E-13     1.453395323591838E-9     -2.9574562841575985E-60  5.502675198416112E-13    1.6868057217200342E-9    2.0508353187065694E-60   5.49710244859757E-13     1.940511749960547E-9     5.994922662868538E-60    5.491535347999443E-13
0.034                     1.3923372988916178E-17   2.3199954820868816E-12   7.197930702415788E-13    4.047300805380632E-14    2.5252102177169643E-21   7.190641113352912E-13    9.695229224158849E-14    1.1478049018788393E-29   7.183358906673622E-13    2.166371542852808E-13    -7.481008995262047E-31   7.176084075016523E-13    4.549721474280068E-13    -3.0730968779525094E-37  7.168816610941545E-13    9.037922649297334E-13    -1.2415097949191092E-45  7.161556507499116E-13    1.707236651205202E-12    -5.046481586713815E-54   7.154303755176256E-13    3.081625723803613E-12    2.2903540430762752E-57   7.147058349772206E-13    5.336450825049427E-12    1.3074773112004327E-58   7.139820280031597E-13    8.899202598401956E-12    -7.04854929825523E-58    7.132589541844714E-13    1.433682414391075E-11    5.1621012085243085E-59   7.125366126341314E-13    2.2376907284087342E-11   1.1840266761075786E-57   7.118150025564653E-13    3.3922977866601E-11      1.0061353814760701E-57   7.110941230579951E-13    5.0068996546465624E-11   5.138331722015198E-58    7.103739738034224E-13    7.209208808749108E-11    1.727903974045099E-58    7.096545537288903E-13    1.0145360135375692E-10   -2.1828980957516916E-59  7.089358623436655E-13    1.3977071449795012E-10   -1.0110488502093287E-58  7.082178985120067E-13    1.8880321642287407E-10   -8.217239922200597E-59   7.075006618714871E-13    2.5041109176563213E-10   1.2870343252222544E-59   7.067841520616031E-13    3.264836439177884E-10    1.0554622263974988E-58   7.060683676153367E-13    4.189255539129687E-10    1.076121325805787E-58    7.053533080626922E-13    5.295500483408704E-10    6.961429351585813E-59    7.046389716193543E-13    6.601304829440668E-10    3.8000890623323337E-59   7.039253593560941E-13    8.122126748372548E-10    1.7183073441820622E-59   7.032124702191366E-13    9.871002289260872E-10    4.269377275284772E-60    7.02500302807032E-13     1.1858577500591167E-9    -3.091218692077341E-60   7.017888569412194E-13    1.4091914855808064E-9    -6.292526185091892E-60   7.01078131249771E-13     1.6574614192634543E-9    -6.077828473764201E-60   7.003681245919983E-13    1.9307390177065202E-9    -2.930520875594268E-60   6.996588383280958E-13    2.2285588884412938E-9    2.0825157882096344E-60   6.98950269578235E-13     2.550187243277083E-9     6.007965417514521E-60    6.982424191197591E-13
0.038                     2.4897653377436E-17      4.14858490989109E-12     9.149791478885731E-13    7.1585343938842E-14      -1.2418193660681848E-21  9.140525174075361E-13    1.6789247639701864E-13   -6.915619340266322E-30   9.131268253527442E-13    3.67956158911876E-13     -1.6749739507660164E-30  9.122020707884286E-13    7.590267355889828E-13    1.5083177342840325E-37   9.112782527688378E-13    1.4827950959356467E-12   6.353025644962041E-46    9.103553704105612E-13    2.7575231098443075E-12   2.6179108959832455E-54   9.094334225043313E-13    4.90500178810798E-12     -2.905939491316785E-57   9.085124085161585E-13    8.377804867370305E-12    -1.609872452451925E-58   9.075923270152964E-13    1.3790948166158627E-11   8.975879218297223E-58    9.066731774793199E-13    2.194719860077256E-11    -6.941283686492822E-59   9.057549587806638E-13    3.386104934855276E-11    -1.5084997687668883E-57  9.048376699078787E-13    5.0773404728625645E-11   -1.278579931454914E-57   9.039213097251919E-13    7.416465552592854E-11    -6.523398026894904E-58   9.030058778063675E-13    1.057372413127495E-10    -2.1897199064670253E-58  9.020913727990401E-13    1.4741056599432478E-10   2.822200559474173E-59    9.011777940793797E-13    2.012759802544717E-10    1.2875436568892312E-58   9.002651402036359E-13    2.6957420738330307E-10   1.0438876218208569E-58   8.993534107110675E-13    3.546342490025315E-10    -1.6709663389661516E-59  8.984426051433786E-13    4.5877737099568476E-10   -1.3447686687802516E-58  8.975327216356914E-13    5.842986657434188E-10    -1.3682694510874854E-58  8.966237595905179E-13    7.333287192987543E-10    -8.844698356720552E-59   8.957157167396383E-13    9.079021083570274E-10    -4.8262056076440475E-59  8.948085944441327E-13    1.1097200293140583E-9    -2.180747632838586E-59   8.93902391364419E-13     1.340139088622771E-9     -5.3994863952422E-60     8.929971057189599E-13    1.6001813682685355E-9    3.9498317290160187E-60   8.920927372807184E-13    1.890393018587054E-9     8.011077359304364E-60    8.911892843056879E-13    2.2108693009733037E-9    7.728259733890086E-60    8.902867453438061E-13    2.561330416846674E-9     3.716119262096387E-60    8.893851221240622E-13    2.9408337843257364E-9    -2.665082012173555E-60   8.884844109856635E-13    3.34810426478407E-9      -7.651619120933903E-60   8.875846129167013E-13
