x	y	err
2.820816 4.574049 1.584370
4.836656 4.449004 1.504618
6.225959 4.335868 1.435669
7.469888 4.224466 1.368927
8.702316 4.114277 1.304245
9.982861 4.010602 1.244761
11.277726 3.916473 1.192509
12.543658 3.830162 1.144949
13.841628 3.748667 1.100709
15.111534 3.672523 1.059951
16.435075 3.598494 1.020697
17.678577 3.529563 0.984036
19.023274 3.466690 0.951021
20.317183 3.407236 0.919884
21.566698 3.353112 0.891908
22.859530 3.302557 0.865716
24.123559 3.255217 0.841096
25.403266 3.207939 0.816428
26.656554 3.164667 0.793714
27.916374 3.123943 0.772099
29.211415 3.086005 0.752047
30.481649 3.049195 0.732603
31.727108 3.015558 0.714911
32.995931 2.983643 0.698010
34.363717 2.953375 0.681885
35.610270 2.924888 0.666431
36.840089 2.897542 0.650534
38.095701 2.871337 0.636752
39.372268 2.848293 0.625747
40.645718 2.825229 0.614005
41.894373 2.805856 0.604421
43.165345 2.785715 0.593724
44.410263 2.770282 0.584374
45.670500 2.759250 0.576606
46.916165 2.753230 0.570474
48.168327 2.749703 0.565147
49.447545 2.750278 0.561280
50.671419 2.754620 0.559079
51.989952 2.759250 0.556568
53.250124 2.764421 0.553662
54.496009 2.770884 0.550830
55.696478 2.778697 0.548265
56.913395 2.788799 0.546037
58.178308 2.800343 0.543845
59.427438 2.813493 0.541715
60.684745 2.826408 0.539530
61.896055 2.840400 0.537352
63.127758 2.856265 0.535234
64.446636 2.870326 0.531738
65.655897 2.886403 0.528043
66.898220 2.903831 0.524617
68.149278 2.920671 0.520734
69.430572 2.936323 0.515748
70.674403 2.952421 0.510882
71.923855 2.968533 0.505984
73.161437 2.982977 0.500747
74.426610 2.995251 0.494662
75.636665 3.005879 0.488818
76.854426 3.014761 0.482907
78.092801 3.022146 0.477070
79.326257 3.029620 0.471781
80.577701 3.034948 0.466697
81.784505 3.038569 0.461594
83.009411 3.041594 0.457102
84.240423 3.042245 0.452720
85.519746 3.041220 0.448688
86.812395 3.038509 0.444894
88.051034 3.035681 0.442008
89.326457 3.029069 0.438958
90.590923 3.020249 0.436053
91.888762 3.008792 0.432935
93.148044 2.996086 0.430139
94.417462 2.979965 0.426942
95.718411 2.962342 0.423943
97.014352 2.943273 0.421023
98.249616 2.922467 0.418056
99.477769 2.899617 0.414952
100.719877 2.875541 0.411706
101.969106 2.850606 0.408449
103.184242 2.824340 0.404886
104.462512 2.797482 0.401270
105.721764 2.770573 0.397845
107.010555 2.742507 0.394082
108.285104 2.714525 0.390025
109.520336 2.687037 0.385929
110.739103 2.660907 0.382086
111.961987 2.635765 0.378188
113.252858 2.611793 0.374174
114.507579 2.589035 0.370152
115.751404 2.567717 0.366149
117.020388 2.548350 0.362160
118.260256 2.531262 0.358345
119.478730 2.515796 0.354726
120.731733 2.502143 0.351373
121.941261 2.491344 0.348421
123.163413 2.483000 0.345647
124.417393 2.476094 0.343220
125.694805 2.470670 0.341315
126.930835 2.466984 0.339942
128.248314 2.465131 0.339131
129.570550 2.464729 0.338730
130.893584 2.465148 0.338804
132.103422 2.466092 0.339341
133.279272 2.467386 0.340289
134.482505 2.469110 0.341720
135.674169 2.471108 0.343486
136.866940 2.472125 0.345730
138.076320 2.472353 0.348177
139.299568 2.472029 0.350974
140.486485 2.469899 0.353904
141.724317 2.466092 0.357049
142.984737 2.460472 0.360210
144.241300 2.452414 0.363194
145.422779 2.442219 0.365938
146.590515 2.430584 0.368507
147.769852 2.417648 0.370966
148.949190 2.403475 0.373257
150.142840 2.388288 0.375234
151.341760 2.372214 0.376826
152.556140 2.355475 0.378190
153.781055 2.338318 0.379259
154.968675 2.320655 0.379975
156.138665 2.303105 0.380433
157.315707 2.285723 0.380654
158.492413 2.268817 0.380749
159.711006 2.252445 0.380590
160.925980 2.237014 0.380188
162.197831 2.222311 0.379645
163.403441 2.208531 0.379004
164.591677 2.195569 0.378271
165.782468 2.183334 0.377398
166.960995 2.172040 0.376527
168.136011 2.161751 0.375688
169.318856 2.152178 0.374874
170.507683 2.143333 0.374081
171.705910 2.135218 0.373364
172.916290 2.127746 0.372727
174.092117 2.120864 0.372227
175.268001 2.114767 0.371959
176.477136 2.109360 0.371893
177.681697 2.104204 0.371941
178.917870 2.099289 0.372174
180.174493 2.094642 0.372523
181.378714 2.090558 0.373044
182.581426 2.086686 0.373720
183.781308 2.083272 0.374605
184.991849 2.080538 0.375495
186.204292 2.078640 0.376493
187.468801 2.077255 0.377647
188.675467 2.076353 0.378908
189.895756 2.076122 0.380259
191.121324 2.076590 0.381575
192.317035 2.077905 0.382933
193.516374 2.079977 0.384166
194.703341 2.082774 0.385268
195.878937 2.086328 0.386327
197.086926 2.091114 0.387258
198.287568 2.096982 0.388046
199.545517 2.104104 0.388730
200.807899 2.112582 0.389284
202.021671 2.121890 0.389505
203.202085 2.132322 0.389508
204.402634 2.143965 0.389280
205.630949 2.156658 0.388838
206.847522 2.170233 0.388085
208.066328 2.184709 0.387108
209.284743 2.199981 0.385872
210.473598 2.215812 0.384375
211.706181 2.232140 0.382648
212.909224 2.248784 0.380715
214.110008 2.265464 0.378603
215.283651 2.282416 0.376403
216.457389 2.299265 0.374078
217.678979 2.315389 0.371606
218.857351 2.330798 0.369065
220.043197 2.345440 0.366542
221.262349 2.359013 0.364045
222.459514 2.371692 0.361628
223.659299 2.383155 0.359305
224.852316 2.393470 0.357146
226.033291 2.402733 0.355138
227.273054 2.410987 0.353291
228.514950 2.418116 0.351660
229.715738 2.424070 0.350137
230.943302 2.428923 0.348815
232.128604 2.432975 0.347690
233.346358 2.436202 0.346778
234.559234 2.438593 0.346000
235.742699 2.440194 0.345266
236.916556 2.441227 0.344669
238.084077 2.442089 0.344319
239.265847 2.442624 0.344028
240.440665 2.443029 0.343838
241.641881 2.443271 0.343696
242.815053 2.443676 0.343642
243.981465 2.444384 0.343713
245.150574 2.445394 0.343854
246.355438 2.446310 0.343949
247.575582 2.447616 0.343932
248.770178 2.449589 0.343831
249.969832 2.452327 0.343665
251.148629 2.455686 0.343487
252.343964 2.459653 0.343228
253.581288 2.464528 0.343040
254.849922 2.470056 0.342758
256.140066 2.476314 0.342349
257.387198 2.482789 0.341837
258.600491 2.489172 0.341121
259.821873 2.495392 0.340176
261.008831 2.501492 0.339055
262.226192 2.507631 0.337799
263.435285 2.513460 0.336402
264.605736 2.519028 0.334875
265.800351 2.524145 0.333163
267.049009 2.528497 0.331270
268.276913 2.531916 0.329188
269.464138 2.534677 0.327000
270.632589 2.536560 0.324667
271.818548 2.537325 0.322206
272.994712 2.537024 0.319564
274.164018 2.535932 0.316845
275.330620 2.533514 0.313963
276.506269 2.529974 0.311077
277.680870 2.525745 0.308219
278.855617 2.520588 0.305313
280.064466 2.514655 0.302454
281.278473 2.507801 0.299600
282.449128 2.500074 0.296770
283.616257 2.491831 0.294001
284.845361 2.483027 0.291293
286.029704 2.473626 0.288733
287.255063 2.463821 0.286306
288.436329 2.453828 0.283982
289.626389 2.443814 0.281877
290.821597 2.433901 0.279911
291.999452 2.424027 0.278149
293.167667 2.414582 0.276554
294.352771 2.405576 0.275188
295.566370 2.396776 0.274026
296.774661 2.388405 0.273007
298.014385 2.380607 0.272159
299.251261 2.373606 0.271551
300.483393 2.367491 0.271169
301.736527 2.362115 0.270997
302.916548 2.357395 0.270970
304.118131 2.353204 0.271068
305.344507 2.349653 0.271341
306.545269 2.347153 0.271846
307.763377 2.345733 0.272539
308.998625 2.345366 0.273425
310.221495 2.345945 0.274428
311.419672 2.347341 0.275548
312.610064 2.349522 0.276729
313.830471 2.352582 0.278022
315.023197 2.356443 0.279434
316.252048 2.360954 0.280932
317.479601 2.366385 0.282495
318.681081 2.372686 0.284150
319.878590 2.379617 0.285842
321.101504 2.387110 0.287568
322.287402 2.395089 0.289335
323.493496 2.403551 0.291080
324.724249 2.412360 0.292781
325.939291 2.421571 0.294473
327.167126 2.431217 0.296151
328.379794 2.441098 0.297818
329.570135 2.450827 0.299376
330.759752 2.460533 0.300856
331.948230 2.470118 0.302239
333.193997 2.479394 0.303601
334.449455 2.488402 0.304873
335.641200 2.497189 0.306166
336.851583 2.505609 0.307407
338.070580 2.513819 0.308595
339.305406 2.521679 0.309799
340.506311 2.529167 0.311006
341.717620 2.536588 0.312279
342.952383 2.543646 0.313578
344.142508 2.550422 0.314972
345.391805 2.557196 0.316458
346.602785 2.563812 0.318008
347.816614 2.570239 0.319694
349.063456 2.576848 0.321549
350.284857 2.583501 0.323509
351.510095 2.590311 0.325675
352.706404 2.597458 0.328026
353.903784 2.604919 0.330569
355.124538 2.612611 0.333273
356.328009 2.620833 0.336167
357.566656 2.629525 0.339285
358.786951 2.638174 0.342518
359.994733 2.646914 0.345884
361.244328 2.655795 0.349397
362.496975 2.664555 0.353025
363.712944 2.673486 0.356747
364.949456 2.682393 0.360536
366.154267 2.691087 0.364361
367.341250 2.699544 0.368188
368.532081 2.707350 0.371988
369.741542 2.714274 0.375656
370.957286 2.720456 0.379198
372.186315 2.726022 0.382593
373.421420 2.730782 0.385882
374.641563 2.734352 0.388963
375.852319 2.736686 0.391811
377.073553 2.738053 0.394372
378.324415 2.738308 0.396629
379.604361 2.737277 0.398550
380.821502 2.735065 0.400131
382.036097 2.731463 0.401289
383.223912 2.726701 0.402021
384.435533 2.720547 0.402324
385.667424 2.713146 0.402243
386.895003 2.704924 0.401804
388.135959 2.695873 0.401037
389.389793 2.686135 0.399958
390.639312 2.675918 0.398576
391.839306 2.665191 0.396920
393.023787 2.654198 0.395039
394.217881 2.643100 0.392872
395.451966 2.631580 0.390454
396.673322 2.619887 0.387806
397.890325 2.608206 0.384965
399.097879 2.596479 0.381972
400.321569 2.584736 0.378839
401.569961 2.573285 0.375605
402.797442 2.562112 0.372291
404.021642 2.551321 0.368922
405.299441 2.540834 0.365500
406.528679 2.530827 0.362083
407.750577 2.521436 0.358682
408.976443 2.512678 0.355316
410.239905 2.504456 0.352030
411.483133 2.496717 0.348831
412.715283 2.489509 0.345687
413.967533 2.482930 0.342635
415.222392 2.476965 0.339680
416.480612 2.471827 0.336897
417.747398 2.467421 0.334264
418.965126 2.463777 0.331782
420.168408 2.461065 0.329491
421.388910 2.459174 0.327356
422.621666 2.457999 0.325382
423.840007 2.457651 0.323541
425.084626 2.457851 0.321896
426.304663 2.458617 0.320385
427.517823 2.459967 0.319019
428.744162 2.461605 0.317769
429.988251 2.464013 0.316669
431.235541 2.467063 0.315720
432.502649 2.470529 0.314891
433.778035 2.474188 0.314147
435.003286 2.478047 0.313463
436.218466 2.482259 0.312811
437.458339 2.486738 0.312185
438.733914 2.490989 0.311632
439.977952 2.495143 0.311103
441.208053 2.499272 0.310593
442.456703 2.503134 0.310068
443.683856 2.506683 0.309528
444.901991 2.509655 0.308965
446.113485 2.512203 0.308407
447.386164 2.514214 0.307825
448.641715 2.515392 0.307194
449.933002 2.515958 0.306529
451.210856 2.515823 0.305831
452.439422 2.514798 0.305115
453.699086 2.512957 0.304367
454.911999 2.510561 0.303615
456.148533 2.507631 0.302900
457.409143 2.504456 0.302190
458.665806 2.501314 0.301525
459.886710 2.498123 0.300908
461.098668 2.494966 0.300335
462.312440 2.492364 0.299842
463.531053 2.490351 0.299452
464.781228 2.489048 0.299178
466.024391 2.488765 0.299018
467.280441 2.489491 0.298952
468.551614 2.491290 0.298981
469.794768 2.494566 0.299157
471.036263 2.499424 0.299470
472.293660 2.505976 0.299959
473.566944 2.514412 0.300637
474.823900 2.524407 0.301465
476.048611 2.536023 0.302492
477.303290 2.549147 0.303709
478.656798 2.563802 0.305090
479.976629 2.579971 0.306642
481.256513 2.597383 0.308336
482.517879 2.615883 0.310175
483.780968 2.635091 0.312119
485.019726 2.654870 0.314156
486.300982 2.675011 0.316257
487.559233 2.695465 0.318423
488.836686 2.715845 0.320617
490.125860 2.735819 0.322798
491.400532 2.755166 0.324937
492.631345 2.773776 0.327057
493.846629 2.791163 0.329090
495.115700 2.807383 0.331027
496.402278 2.822446 0.332859
497.687004 2.836029 0.334535
498.970000 2.848087 0.336094
500.230614 2.858599 0.337486
501.500007 2.867867 0.338757
502.781364 2.875882 0.339906
504.090414 2.882583 0.340932
505.348177 2.888232 0.341886
506.562407 2.893298 0.342846
507.796635 2.898033 0.343790
509.047045 2.902310 0.344695
510.336085 2.906496 0.345666
511.612462 2.910827 0.346703
512.874914 2.915303 0.347793
514.141657 2.920490 0.349013
515.399605 2.926485 0.350347
516.668406 2.933466 0.351854
517.887346 2.941079 0.353514
519.111835 2.949470 0.355309
520.346509 2.958544 0.357234
521.556698 2.968232 0.359253
522.789443 2.978659 0.361366
524.054826 2.989754 0.363549
525.285585 3.001377 0.365798
526.556142 3.013442 0.368058
527.834473 3.025563 0.370263
529.099657 3.037714 0.372444
530.368645 3.049837 0.374576
531.635757 3.061368 0.376554
532.885909 3.072040 0.378361
534.129055 3.081737 0.379945
535.390965 3.090407 0.381293
