x	err
2.820816 0.056025
4.836656 0.055214
6.225959 0.054400
7.469888 0.053580
8.702316 0.052757
9.982861 0.051929
11.277726 0.051076
12.543658 0.050212
13.841628 0.049339
15.111534 0.048468
16.435075 0.047604
17.678577 0.046747
19.023274 0.045909
20.317183 0.045087
21.566698 0.044281
22.859530 0.043497
24.123559 0.042728
25.403266 0.041991
26.656554 0.041279
27.916374 0.040598
29.211415 0.039953
30.481649 0.039339
31.727108 0.038739
32.995931 0.038170
34.363717 0.037644
35.610270 0.037108
36.840089 0.036597
38.095701 0.036144
39.372268 0.035743
40.645718 0.035383
41.894373 0.035053
43.165345 0.034772
44.410263 0.034504
45.670500 0.034266
46.916165 0.034047
48.168327 0.033859
49.447545 0.033700
50.671419 0.033568
51.989952 0.033450
53.250124 0.033338
54.496009 0.033231
55.696478 0.033138
56.913395 0.033055
58.178308 0.032974
59.427438 0.032912
60.684745 0.032863
61.896055 0.032817
63.127758 0.032779
64.446636 0.032753
65.655897 0.032740
66.898220 0.032745
68.149278 0.032752
69.430572 0.032770
70.674403 0.032798
71.923855 0.032827
73.161437 0.032859
74.426610 0.032910
75.636665 0.032967
76.854426 0.033017
78.092801 0.033066
79.326257 0.033112
80.577701 0.033156
81.784505 0.033179
83.009411 0.033180
84.240423 0.033176
85.519746 0.033156
86.812395 0.033122
88.051034 0.033061
89.326457 0.032977
90.590923 0.032858
91.888762 0.032705
93.148044 0.032529
94.417462 0.032342
95.718411 0.032112
97.014352 0.031836
98.249616 0.031515
99.477769 0.031171
100.719877 0.030812
101.969106 0.030437
103.184242 0.030040
104.462512 0.029629
105.721764 0.029203
107.010555 0.028791
108.285104 0.028375
109.520336 0.027962
110.739103 0.027583
111.961987 0.027222
113.252858 0.026882
114.507579 0.026579
115.751404 0.026298
117.020388 0.026067
118.260256 0.025875
119.478730 0.025735
120.731733 0.025633
121.941261 0.025586
123.163413 0.025586
124.417393 0.025636
125.694805 0.025716
126.930835 0.025840
128.248314 0.026002
129.570550 0.026205
130.893584 0.026445
132.103422 0.026713
133.279272 0.026998
134.482505 0.027310
135.674169 0.027642
136.866940 0.027970
138.076320 0.028297
139.299568 0.028616
140.486485 0.028906
141.724317 0.029165
142.984737 0.029394
144.241300 0.029595
145.422779 0.029767
146.590515 0.029883
147.769852 0.029940
148.949190 0.029943
150.142840 0.029886
151.341760 0.029779
152.556140 0.029633
153.781055 0.029433
154.968675 0.029188
156.138665 0.028899
157.315707 0.028578
158.492413 0.028233
159.711006 0.027875
160.925980 0.027494
162.197831 0.027089
163.403441 0.026671
164.591677 0.026257
165.782468 0.025844
166.960995 0.025443
168.136011 0.025037
169.318856 0.024640
170.507683 0.024247
171.705910 0.023842
172.916290 0.023457
174.092117 0.023077
175.268001 0.022698
176.477136 0.022337
177.681697 0.021973
178.917870 0.021615
180.174493 0.021261
181.378714 0.020910
182.581426 0.020560
183.781308 0.020222
