x	y	err
2.820816 0.350170 0.057766
4.836656 0.360111 0.058017
6.225959 0.370434 0.058206
7.469888 0.381108 0.058304
8.702316 0.392140 0.058315
9.982861 0.403680 0.058223
11.277726 0.415564 0.058051
12.543658 0.427784 0.057803
13.841628 0.440337 0.057451
15.111534 0.453096 0.056997
16.435075 0.465952 0.056442
17.678577 0.478878 0.055780
19.023274 0.491832 0.055008
20.317183 0.504943 0.054118
21.566698 0.517977 0.053125
22.859530 0.530839 0.052044
24.123559 0.543412 0.050880
25.403266 0.555702 0.049626
26.656554 0.567507 0.048328
27.916374 0.578662 0.047022
29.211415 0.589139 0.045695
30.481649 0.598858 0.044358
31.727108 0.607736 0.043029
32.995931 0.615821 0.041730
34.363717 0.623069 0.040459
35.610270 0.629352 0.039283
36.840089 0.634628 0.038200
38.095701 0.639026 0.037118
39.372268 0.643091 0.036097
40.645718 0.646212 0.035212
41.894373 0.648259 0.034426
43.165345 0.649483 0.033766
44.410263 0.649925 0.033234
45.670500 0.649865 0.032836
46.916165 0.649130 0.032550
48.168327 0.647646 0.032342
49.447545 0.645757 0.032229
50.671419 0.643731 0.032203
51.989952 0.641615 0.032239
53.250124 0.639444 0.032347
54.496009 0.637363 0.032533
55.696478 0.635560 0.032741
56.913395 0.633890 0.032976
58.178308 0.632554 0.033225
59.427438 0.631591 0.033500
60.684745 0.631017 0.033784
61.896055 0.631042 0.033999
63.127758 0.631594 0.034180
64.446636 0.632648 0.034335
65.655897 0.633994 0.034450
66.898220 0.635841 0.034515
68.149278 0.638078 0.034525
69.430572 0.640678 0.034473
70.674403 0.643635 0.034376
71.923855 0.646893 0.034224
73.161437 0.650289 0.034024
74.426610 0.653900 0.033760
75.636665 0.657648 0.033440
76.854426 0.661470 0.033086
78.092801 0.665377 0.032700
79.326257 0.669312 0.032281
80.577701 0.673241 0.031853
81.784505 0.677079 0.031425
83.009411 0.680652 0.031007
84.240423 0.684082 0.030598
85.519746 0.687334 0.030192
86.812395 0.690448 0.029798
88.051034 0.693280 0.029436
89.326457 0.695907 0.029072
90.590923 0.698334 0.028712
91.888762 0.700477 0.028392
93.148044 0.702373 0.028116
94.417462 0.704010 0.027876
95.718411 0.705271 0.027666
97.014352 0.706185 0.027499
98.249616 0.706842 0.027346
99.477769 0.707297 0.027225
100.719877 0.707473 0.027121
101.969106 0.707386 0.027039
103.184242 0.707098 0.026975
104.462512 0.706614 0.026923
105.721764 0.705949 0.026883
107.010555 0.705166 0.026854
108.285104 0.704226 0.026840
109.520336 0.703165 0.026831
110.739103 0.702057 0.026850
111.961987 0.700775 0.026873
113.252858 0.699433 0.026889
114.507579 0.698065 0.026917
115.751404 0.696672 0.026933
117.020388 0.695325 0.026938
118.260256 0.694019 0.026938
119.478730 0.692695 0.026958
120.731733 0.691403 0.026974
121.941261 0.690122 0.026987
123.163413 0.688844 0.026989
124.417393 0.687552 0.026991
125.694805 0.686293 0.026996
126.930835 0.685084 0.027005
128.248314 0.683947 0.027012
129.570550 0.682808 0.027010
130.893584 0.681676 0.027010
132.103422 0.680562 0.027017
133.279272 0.679439 0.027029
134.482505 0.678293 0.027043
135.674169 0.677191 0.027064
136.866940 0.676047 0.027091
138.076320 0.674905 0.027126
139.299568 0.673754 0.027172
140.486485 0.672586 0.027230
141.724317 0.671466 0.027302
142.984737 0.670317 0.027379
144.241300 0.669156 0.027464
145.422779 0.667974 0.027569
146.590515 0.666822 0.027690
147.769852 0.665707 0.027831
148.949190 0.664594 0.027986
150.142840 0.663591 0.028156
151.341760 0.662697 0.028344
152.556140 0.661937 0.028544
153.781055 0.661291 0.028759
154.968675 0.660720 0.028989
156.138665 0.660259 0.029221
157.315707 0.659945 0.029470
158.492413 0.659807 0.029733
159.711006 0.659831 0.030006
160.925980 0.659994 0.030283
162.197831 0.660326 0.030562
163.403441 0.660830 0.030842
164.591677 0.661507 0.031123
165.782468 0.662328 0.031400
166.960995 0.663285 0.031666
168.136011 0.664408 0.031927
169.318856 0.665732 0.032175
170.507683 0.667273 0.032418
171.705910 0.668923 0.032650
172.916290 0.670733 0.032897
174.092117 0.672692 0.033126
175.268001 0.674746 0.033334
176.477136 0.676967 0.033535
177.681697 0.679293 0.033722
178.917870 0.681740 0.033902
180.174493 0.684317 0.034068
181.378714 0.686984 0.034222
182.581426 0.689688 0.034367
183.781308 0.692476 0.034506
184.991849 0.695323 0.034630
186.204292 0.698173 0.034728
187.468801 0.701015 0.034792
188.675467 0.703824 0.034852
189.895756 0.706565 0.034905
191.121324 0.709249 0.034925
192.317035 0.711801 0.034922
193.516374 0.714130 0.034903
194.703341 0.716341 0.034853
195.878937 0.718424 0.034766
197.086926 0.720333 0.034645
198.287568 0.722042 0.034498
199.545517 0.723564 0.034326
200.807899 0.724928 0.034121
202.021671 0.726109 0.033881
203.202085 0.727156 0.033605
204.402634 0.728097 0.033295
205.630949 0.728977 0.032950
206.847522 0.729803 0.032578
208.066328 0.730609 0.032185
209.284743 0.731413 0.031783
210.473598 0.732201 0.031369
211.706181 0.733052 0.030958
212.909224 0.733987 0.030557
214.110008 0.735026 0.030166
215.283651 0.736208 0.029803
216.457389 0.737526 0.029481
217.678979 0.738952 0.029189
218.857351 0.740489 0.028942
220.043197 0.742131 0.028749
221.262349 0.743858 0.028608
222.459514 0.745667 0.028521
223.659299 0.747511 0.028490
224.852316 0.749385 0.028499
226.033291 0.751265 0.028549
227.273054 0.753139 0.028639
228.514950 0.754920 0.028761
229.715738 0.756553 0.028907
230.943302 0.758029 0.029057
232.128604 0.759379 0.029200
233.346358 0.760563 0.029320
234.559234 0.761497 0.029433
235.742699 0.762191 0.029517
236.916556 0.762623 0.029565
238.084077 0.762834 0.029571
239.265847 0.762816 0.029517
240.440665 0.762581 0.029400
241.641881 0.762133 0.029222
242.815053 0.761561 0.028978
243.981465 0.760833 0.028677
245.150574 0.760024 0.028328
246.355438 0.759123 0.027926
247.575582 0.758132 0.027470
248.770178 0.757144 0.026947
249.969832 0.756218 0.026370
251.148629 0.755341 0.025758
252.343964 0.754565 0.025106
253.581288 0.754007 0.024423
254.849922 0.753561 0.023730
256.140066 0.753308 0.023034
257.387198 0.753313 0.022338
258.600491 0.753542 0.021630
259.821873 0.753995 0.020922
261.008831 0.754664 0.020238
262.226192 0.755552 0.019584
263.435285 0.756666 0.018965
264.605736 0.757977 0.018386
265.800351 0.759456 0.017848
267.049009 0.761046 0.017356
268.276913 0.762769 0.016917
269.464138 0.764615 0.016530
270.632589 0.766488 0.016206
271.818548 0.768357 0.015933
272.994712 0.770213 0.015708
274.164018 0.772006 0.015528
275.330620 0.773726 0.015396
276.506269 0.775361 0.015306
277.680870 0.776858 0.015255
278.855617 0.778209 0.015238
280.064466 0.779395 0.015247
281.278473 0.780404 0.015281
282.449128 0.781200 0.015331
283.616257 0.781819 0.015395
284.845361 0.782251 0.015464
286.029704 0.782481 0.015533
287.255063 0.782535 0.015596
288.436329 0.782436 0.015642
289.626389 0.782195 0.015670
290.821597 0.781806 0.015679
291.999452 0.781283 0.015664
293.167667 0.780655 0.015613
294.352771 0.779974 0.015532
295.566370 0.779234 0.015420
296.774661 0.778405 0.015275
298.014385 0.777504 0.015093
299.251261 0.776545 0.014881
300.483393 0.775516 0.014651
301.736527 0.774460 0.014394
302.916548 0.773387 0.014118
304.118131 0.772272 0.013824
305.344507 0.771068 0.013520
306.545269 0.769843 0.013222
307.763377 0.768605 0.012942
308.998625 0.767304 0.012695
310.221495 0.765927 0.012469
311.419672 0.764467 0.012274
312.610064 0.762951 0.012123
313.830471 0.761388 0.012008
315.023197 0.759758 0.011939
316.252048 0.758013 0.011912
317.479601 0.756213 0.011937
318.681081 0.754388 0.012017
319.878590 0.752570 0.012152
321.101504 0.750726 0.012333
322.287402 0.748835 0.012561
323.493496 0.746897 0.012837
324.724249 0.744943 0.013150
325.939291 0.742980 0.013502
327.167126 0.741056 0.013892
328.379794 0.739148 0.014312
329.570135 0.737291 0.014762
330.759752 0.735526 0.015232
331.948230 0.733792 0.015729
333.193997 0.732133 0.016246
334.449455 0.730583 0.016784
335.641200 0.729110 0.017323
336.851583 0.727743 0.017866
338.070580 0.726526 0.018403
339.305406 0.725455 0.018930
340.506311 0.724565 0.019447
341.717620 0.723834 0.019955
342.952383 0.723274 0.020455
344.142508 0.722908 0.020933
345.391805 0.722756 0.021389
346.602785 0.722770 0.021823
347.816614 0.722977 0.022241
349.063456 0.723370 0.022639
350.284857 0.723937 0.023021
351.510095 0.724648 0.023389
352.706404 0.725504 0.023744
353.903784 0.726490 0.024091
355.124538 0.727574 0.024423
356.328009 0.728774 0.024742
357.566656 0.730086 0.025044
358.786951 0.731479 0.025336
359.994733 0.732926 0.025617
361.244328 0.734434 0.025879
362.496975 0.735972 0.026123
363.712944 0.737500 0.026340
364.949456 0.739025 0.026542
366.154267 0.740563 0.026722
367.341250 0.742055 0.026880
368.532081 0.743484 0.027009
369.741542 0.744885 0.027109
370.957286 0.746228 0.027193
372.186315 0.747470 0.027258
373.421420 0.748594 0.027292
374.641563 0.749576 0.027308
375.852319 0.750437 0.027306
377.073553 0.751167 0.027288
378.324415 0.751763 0.027257
379.604361 0.752215 0.027212
380.821502 0.752488 0.027152
382.036097 0.752641 0.027078
383.223912 0.752696 0.026997
384.435533 0.752610 0.026897
385.667424 0.752430 0.026792
386.895003 0.752174 0.026677
388.135959 0.751812 0.026546
389.389793 0.751413 0.026406
390.639312 0.750956 0.026255
391.839306 0.750496 0.026093
393.023787 0.750062 0.025919
394.217881 0.749652 0.025738
395.451966 0.749318 0.025555
396.673322 0.749043 0.025374
397.890325 0.748891 0.025204
399.097879 0.748807 0.025044
400.321569 0.748828 0.024897
401.569961 0.748970 0.024768
402.797442 0.749229 0.024664
404.021642 0.749638 0.024586
405.299441 0.750234 0.024534
406.528679 0.750971 0.024514
407.750577 0.751880 0.024534
408.976443 0.752936 0.024587
410.239905 0.754108 0.024670
411.483133 0.755422 0.024785
412.715283 0.756862 0.024939
413.967533 0.758355 0.025132
415.222392 0.759917 0.025358
416.480612 0.761541 0.025615
417.747398 0.763187 0.025906
418.965126 0.764848 0.026224
420.168408 0.766458 0.026569
421.388910 0.768004 0.026936
422.621666 0.769480 0.027332
423.840007 0.770851 0.027750
425.084626 0.772096 0.028190
426.304663 0.773195 0.028640
427.517823 0.774072 0.029109
428.744162 0.774779 0.029590
429.988251 0.775301 0.030081
431.235541 0.775605 0.030580
432.502649 0.775712 0.031081
433.778035 0.775622 0.031581
435.003286 0.775315 0.032088
436.218466 0.774812 0.032589
437.458339 0.774127 0.033076
438.733914 0.773270 0.033546
439.977952 0.772267 0.033991
441.208053 0.771138 0.034421
442.456703 0.769889 0.034834
443.683856 0.768528 0.035230
444.901991 0.767089 0.035609
446.113485 0.765609 0.035981
447.386164 0.764029 0.036336
448.641715 0.762403 0.036672
449.933002 0.760752 0.036997
451.210856 0.759041 0.037322
452.439422 0.757354 0.037647
453.699086 0.755682 0.037977
454.911999 0.754032 0.038317
456.148533 0.752361 0.038676
457.409143 0.750663 0.039053
458.665806 0.748977 0.039458
459.886710 0.747251 0.039889
461.098668 0.745523 0.040351
462.312440 0.743761 0.040846
463.531053 0.741946 0.041374
